filename;class;xmin;ymin;xmax;ymax
2021-01-05-15-58-23.jpg;VEREUR;7;121;263;511
2021-01-05-15-58-27.jpg;MESBLE;1059;616;1607;1086
2021-01-05-16-01-29.jpg;SITTOR;754;652;1482;1088
2021-01-05-16-01-54.jpg;MESCHA;1260;468;1920;1050
2021-01-05-16-02-10.jpg;SITTOR;1394;542;1915;1083
2021-01-05-16-03-19.jpg;MESCHA;164;417;468;785
2021-01-05-16-03-38.jpg;SITTOR;951;469;1447;1069
2021-01-05-16-04-01.jpg;MESCHA;339;327;874;760
2021-01-05-16-05-49.jpg;MESCHA;1040;434;1920;1047
2021-01-05-16-05-52.jpg;MESBLE;1007;522;1810;1079
2021-01-05-16-07-17.jpg;MESCHA;901;55;1136;356
2021-01-05-16-07-53.jpg;SITTOR;940;462;1920;1049
2021-01-05-16-08-37.jpg;SITTOR;1258;570;1900;1088
2021-01-05-16-08-48.jpg;MESBLE;1351;594;1918;1061
2021-01-05-16-09-31.jpg;SITTOR;1330;392;1920;1085
2021-01-05-16-10-04.jpg;MESCHA;925;501;1455;1084
2021-01-05-16-11-11.jpg;SITTOR;1390;389;1890;754
2021-01-05-16-11-59.jpg;SITTOR;975;519;1920;1080
2021-01-05-16-12-51.jpg;MESCHA;1188;494;1920;1085
2021-01-05-16-13-21.jpg;SITTOR;1023;405;1920;928
2021-01-05-16-15-17.jpg;MESBLE;1451;481;1802;960
2021-01-05-16-17-30.jpg;MESCHA;994;376;1536;799
2021-01-05-16-19-29.jpg;MESCHA;1100;515;1871;1087
2021-01-05-16-19-30.jpg;MESCHA;1277;619;1736;1083
2021-01-05-16-19-32.jpg;MESCHA;851;444;1900;1086
2021-01-05-16-20-02.jpg;SITTOR;1080;631;1920;1085
2021-01-05-16-20-02.jpg;MESCHA;1553;538;1809;652
2021-01-05-16-20-06.jpg;MESCHA;966;330;1652;812
2021-01-05-16-21-49.jpg;SITTOR;1165;587;1682;1086
2021-01-05-16-21-52.jpg;SITTOR;898;661;1630;1088
2021-01-05-16-24-04.jpg;SITTOR;1029;433;1920;1083
2021-01-05-16-24-18.jpg;MESCHA;391;344;1223;782
2021-01-05-16-24-22.jpg;MESCHA;732;380;1541;829
2021-01-05-16-27-20.jpg;SITTOR;966;452;1487;1083
2021-01-05-16-27-40.jpg;SITTOR;1275;410;1915;1083
2021-01-05-16-28-40.jpg;MESBLE;1427;553;1919;1065
2021-01-05-16-29-32.jpg;ACCMOU;710;518;1823;1023
2021-01-05-16-29-38.jpg;ACCMOU;1;458;541;845
2021-01-05-16-30-40.jpg;MESCHA;1370;505;1918;1080
2021-01-05-16-30-47.jpg;SITTOR;624;566;1291;1086
2021-01-05-16-31-21.jpg;MESCHA;947;439;1515;1088
2021-01-05-16-32-02.jpg;SITTOR;1126;461;1661;971
2021-01-05-16-39-14.jpg;SITTOR;260;394;1045;802
2021-01-05-16-40-07.jpg;MESBLE;1137;537;1661;1088
2021-01-05-16-40-16.jpg;SITTOR;1080;433;1916;1085
2021-01-05-16-40-17.jpg;SITTOR;887;451;1917;1073
2021-01-05-16-42-06.jpg;MESBLE;376;605;558;743
2021-01-05-16-42-22.jpg;SITTOR;871;316;1351;829
2021-01-05-16-42-58.jpg;MESCHA;1126;341;1917;892
2021-01-05-16-43-03.jpg;SITTOR;763;376;1436;1082
2021-01-05-16-44-43.jpg;MESBLE;1327;498;1916;953
2021-01-05-16-45-15.jpg;MESBLE;1579;533;1916;1083
2021-01-05-16-45-15.jpg;MESCHA;467;607;600;741
2021-01-05-16-45-44.jpg;ROUGOR;45;287;736;940
2021-01-05-16-45-47.jpg;ROUGOR;1;333;796;910
