cameratime;class;xmin;ymin;xmax;ymax
16:18:16;TOUTUR;1;1;1280;716
16:18:17;TOUTUR;32;1;1280;713
16:18:18;TOUTUR;27;1;1280;713
16:18:19;TOUTUR;14;1;1280;715
16:18:21;TOUTUR;1;1;1280;715
16:18:21;TOUTUR;1;1;1280;717
16:18:22;TOUTUR;11;1;1280;714
16:18:23;TOUTUR;1;1;1280;718
16:18:24;TOUTUR;1;1;1280;716
16:18:24;TOUTUR;1;1;1280;717
16:18:25;TOUTUR;8;1;1280;714
16:18:26;TOUTUR;1;1;1280;717
16:18:26;TOUTUR;1;1;1280;716
16:18:26;TOUTUR;3;1;1280;715
16:18:27;TOUTUR;1;1;1280;716
16:18:29;TOUTUR;1;1;1280;716
16:18:30;TOUTUR;13;1;1280;716
16:18:30;TOUTUR;12;1;1280;716
16:18:30;TOUTUR;1;1;1280;716
16:18:31;TOUTUR;1;1;1280;716
