videotime;class;xmin;ymin;xmax;ymax
0:00:02.360000;MESCHA;8;175;524;751
0:00:02.400000;MESCHA;340;204;661;809
0:00:02.440000;MESCHA;303;80;963;732
0:00:02.480000;MESCHA;304;83;965;703
0:00:02.520000;MESCHA;302;87;967;656
0:00:02.560000;MESCHA;289;87;968;643
0:00:02.600000;MESCHA;350;102;931;602
0:00:02.640000;MESCHA;217;72;970;654
0:00:02.680000;MESCHA;200;69;967;681
0:00:02.720000;MESCHA;130;71;976;650
0:00:02.760000;MESCHA;208;28;968;693
0:00:02.800000;MESCHA;121;97;983;605
0:00:02.840000;MESCHA;72;86;986;604
0:00:02.880000;MESCHA;77;88;986;604
0:00:02.920000;MESCHA;72;90;984;604
0:00:02.960000;MESCHA;65;88;985;606
0:00:03;MESCHA;120;81;986;597
0:00:03.040000;MESCHA;146;1;976;582
0:00:03.080000;MESCHA;172;66;994;580
0:00:03.120000;MESCHA;354;56;983;593
0:00:03.160000;MESCHA;429;59;987;592
0:00:03.200000;MESCHA;436;59;991;586
0:00:03.240000;MESCHA;447;59;979;590
0:00:03.280000;MESCHA;448;59;989;590
0:00:03.320000;MESCHA;444;57;982;591
0:00:03.360000;MESCHA;451;56;993;594
0:00:03.400000;MESCHA;453;56;996;592
0:00:03.440000;MESCHA;452;57;998;591
